eps,alpha,B,dim,Deff
0.05,0.01,2,2,1.7068389553747665
0.05,0.01,3,2,1.6930196433918574
0.05,0.02,2,4,1.7427123979866488
0.05,0.02,4,5,0.8918154758647588
0.05,0.005,4,2,1.6628916858149032
0.05,0.02,3,5,0.9647913823407099
0.05,0.005,2,5,1.4442631551967766
0.05,0.02,2,4,1.6035412224425025
0.05,0.02,4,5,1.046428171369004
0.05,0.01,4,3,1.7470240212576595
0.05,0.01,3,3,1.8310019709269336
0.05,0.01,2,2,1.699935618635183
0.05,0.005,4,2,1.6423420247780296
0.05,0.02,3,5,0.9743418713821562
0.05,0.02,2,4,1.4480752320768095
0.05,0.005,3,2,1.6536829608946655
0.1,0.005,2,2,1.6758650034635956
0.05,0.01,4,3,1.6710252617678272
0.05,0.01,3,3,1.7300920738538468
0.05,0.01,2,2,1.7156628977791457
0.05,0.005,4,2,1.7058830821901383
0.05,0.02,3,5,1.0267239045107643
0.05,0.02,2,5,1.2147218240713789
0.05,0.005,3,2,1.7212669138436634
0.1,0.005,2,2,1.6233751502072276
0.05,0.01,4,4,1.3086235825443728
0.05,0.01,3,3,1.6827037964876608
0.05,0.01,2,3,1.6945309916011888
0.05,0.005,4,2,1.660036684794704
0.05,0.02,3,5,1.1416698098834492
0.05,0.02,2,5,1.1961407155004955
0.05,0.005,3,2,1.6718345707333608
0.1,0.005,2,2,1.66029453306582
0.05,0.01,4,4,1.5162432305130094
0.05,0.01,3,3,1.7104785225224544
0.05,0.02,4,2,1.737278704035617
0.05,0.01,2,3,1.706984312426454
0.05,0.02,2,5,1.1905344326346812
0.05,0.005,4,3,1.8277874885404717
0.05,0.005,3,2,1.6649347212083703
0.1,0.005,2,2,1.61501973026624
0.05,0.01,4,4,1.3226548915422278
0.05,0.02,4,2,1.7337956118707623
0.05,0.01,3,3,1.7090395241251033
0.05,0.02,2,5,1.3367386846113543
0.05,0.01,2,3,1.6634207573265343
0.05,0.005,4,3,1.7052857855468193
0.05,0.005,3,2,1.709749509342742
0.05,0.02,4,2,1.7344579107440412
0.1,0.005,2,2,1.6673017482478278
0.05,0.01,4,4,1.4421547862809474
0.05,0.02,2,5,1.042636329710657
0.05,0.01,3,4,1.3366106018087154
0.05,0.005,4,3,1.7704310183968208
0.05,0.01,2,3,1.747557789633053
0.05,0.02,4,2,1.7431193293554654
0.05,0.005,3,3,1.8684234353255924
0.05,0.02,3,2,1.7345972955781492
0.1,0.005,2,3,1.6966290433935771
0.05,0.01,4,4,1.5102706906876693
0.05,0.01,3,4,1.4293896736318028
0.05,0.005,4,3,1.7166085763896217
0.05,0.01,2,3,1.8799978804801731
0.05,0.02,4,2,1.7398938207140344
0.05,0.02,3,2,1.7087254713709172
0.05,0.005,3,3,1.841555217906346
0.1,0.005,2,3,1.7640356107368358
0.05,0.01,4,5,1.0448815453138471
0.05,0.01,3,4,1.356623219930853
0.05,0.005,4,3,1.746437420003872
0.05,0.01,2,4,1.4116793027312662
0.1,0.005,2,3,1.7182835830666732
0.1,0.005,3,4,1.6372852132583473
0.1,0.005,4,4,1.6967572481070892
0.1,0.005,2,3,1.6456764292663315
0.05,0.01,3,4,1.3167283415103304
0.05,0.01,4,5,1.2108208840439614
0.1,0.01,2,5,1.634540698205363
0.05,0.01,2,4,1.5230407196530407
0.1,0.005,2,3,1.7000697908347016
0.1,0.005,3,4,1.549233301223015
0.1,0.005,4,5,1.6195373697118411
0.1,0.01,4,2,1.522371637732567
0.05,0.01,3,4,1.29624010563241
0.05,0.01,4,5,0.9676587077352606
0.1,0.01,2,5,1.6213307099217817
0.05,0.01,2,4,1.3002433533471058
0.1,0.005,2,4,1.671560950250227
0.1,0.005,3,4,1.6813057624228271
0.1,0.005,4,5,1.6579558104895498
0.1,0.01,4,2,1.4610015288945122
0.05,0.01,3,5,1.1065949172436613
0.05,0.01,4,5,0.9686177961600312
0.1,0.02,2,2,1.514133685950699
0.1,0.01,2,5,1.6469930975630571
0.1,0.005,2,4,1.6849163772610423
0.1,0.005,3,4,1.7455888550562353
0.1,0.02,3,3,1.6394715996170037
0.1,0.01,4,2,1.4410521553371678
0.1,0.005,4,5,1.6818527311521063
0.1,0.02,4,3,1.5991057048578365
0.1,0.02,2,2,1.4718694960064365
0.1,0.01,3,2,1.657158764642241
0.1,0.005,2,4,1.7003891798428699
0.1,0.02,3,3,1.5728826968110425
0.1,0.005,3,5,1.5810927366111291
0.1,0.02,4,4,1.5128409921188255
0.1,0.01,4,2,1.4353957683691985
0.1,0.005,4,5,1.5395731484079083
0.1,0.02,2,3,1.6892500724359774
0.1,0.01,3,2,1.5224098757718774
0.1,0.005,2,4,1.6623671366605015
0.1,0.02,3,3,1.4980404926104605
0.1,0.02,4,4,1.5938424440481433
0.1,0.005,3,5,1.534126585308059
0.1,0.02,2,3,1.6787243983861342
0.1,0.01,4,2,1.5090629079622067
0.1,0.005,4,5,1.5614681643331523
0.1,0.02,3,3,1.5506358737082524
0.1,0.02,4,4,1.5297248099108631
0.1,0.01,3,2,1.5625231594346856
0.1,0.005,2,4,1.65368603584872
0.1,0.005,3,5,1.5736936679069213
0.1,0.02,2,3,1.7017234206442782
0.1,0.01,4,3,1.759486994989345
0.1,0.01,2,2,1.564146986872349
0.1,0.02,3,4,1.58177350523152
0.1,0.02,4,4,1.6151592850213763
0.1,0.01,3,2,1.5864530325746673
0.1,0.005,2,5,1.6774728277813449
0.1,0.02,2,3,1.6382664633527217
0.1,0.005,3,5,1.6972624428139622
0.1,0.01,4,3,1.7345635255468546
0.1,0.01,2,2,1.5716740554261859
0.1,0.02,3,4,1.5976182662790135
0.1,0.02,4,4,1.5703208278922391
0.1,0.01,3,2,1.6064131298349618
0.1,0.005,2,5,1.6639339225116159
0.1,0.02,2,3,1.6545748443218133
0.1,0.005,3,5,1.5067276939152536
0.1,0.02,3,4,1.479344446244881
0.1,0.01,4,3,1.6689125359966852
0.1,0.02,4,5,1.6116523269844456
0.1,0.01,2,2,1.6697354677600857
0.1,0.01,3,3,1.6960605239294777
0.1,0.02,2,4,1.5557453098826162
0.1,0.005,2,5,1.5928815442840114
